Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
08/07/2019 11:30,68.96,8712.77,8013.09,344.97,-332.79,Actual
08/07/2019 12:00,73.83,8613.08,7806.42,342.81,-443.23,Actual
08/07/2019 12:30,71.31,8519.22,7715.22,386.24,-400.97,Actual
08/07/2019 13:00,68.81,8479.28,7676.85,455.36,-334.21,Actual
08/07/2019 13:30,68.66,8465.06,7666.67,500.44,-284.25,Actual
08/07/2019 14:00,68.81,8539.22,7707.29,480.56,-334.4,Actual
08/07/2019 14:30,68.88,8480.17,7625.16,498.35,-342.27,Actual
08/07/2019 15:00,69.57,8505.31,7692.85,565,-232.95,Actual
08/07/2019 15:30,67.47,8478.58,7705.07,548.34,-210.53,Actual
08/07/2019 16:00,68.34,8647.71,8126.22,538.94,26.46,Actual
08/07/2019 16:30,68.37,8893.07,8222.39,508.38,-148.76,Actual
08/07/2019 17:00,85.25,9292.23,8559.23,409.6,-302.16,Actual
08/07/2019 17:30,127.42,9803.33,8973.22,319.42,-495.67,Actual
08/07/2019 18:00,193.87,10277.42,9402.57,320.15,-537.01,Actual
08/07/2019 18:30,186.01,10385.25,9639.32,300.75,-415.5,Actual
08/07/2019 19:00,108.2,10258.38,9596.45,333.98,-293.12,Actual
08/07/2019 19:30,83.45,10052.25,9462.58,342.15,-211.14,Actual
08/07/2019 20:00,81.25,9841.79,8827.01,373.22,-622.4,Actual
08/07/2019 20:30,86.93,9712.94,8526.81,395.95,-769.69,Actual
08/07/2019 21:00,78.93,9461.9,8332.75,363.28,-741.67,Actual
08/07/2019 21:30,79.38,9284.58,8153.26,344.56,-758.41,Actual
08/07/2019 22:00,71.31,8952.19,7880.64,316.05,-731.78,Actual
08/07/2019 22:30,75.33,8867.66,7839.07,314.94,-692.82,Actual
08/07/2019 23:00,71.87,8635.31,7815.98,331.32,-478.26,Actual
08/07/2019 23:30,68.22,8591.03,7709.13,350.84,-518.12,Actual
09/07/2019 00:00,66.6,8467.1,7511.35,351.85,-585.58,Actual
09/07/2019 00:30,66.28,8287.68,7384.37,332.05,-555.07,Actual
09/07/2019 01:00,60.44,8066.17,7292.97,335.95,-423.95,Actual
09/07/2019 01:30,58.27,7862.46,7173.31,364,-311.37,Actual
09/07/2019 02:00,62.32,7693.15,6960.44,326.06,-383.13,Actual
09/07/2019 02:30,55.65,7397.46,6662.27,336.15,-379.54,Actual
09/07/2019 03:00,54.82,7203.29,6603.4,296.57,-288.39,Actual
09/07/2019 03:30,58.69,7231.09,6583.77,286.68,-345.68,Actual
09/07/2019 04:00,54.07,6958.37,6389.43,337.07,-218.87,Actual
09/07/2019 04:30,50.08,6882.62,6435.75,374.75,-64.74,Actual
09/07/2019 05:00,54.57,6996,6609.34,362.83,-16.29,Actual
09/07/2019 05:30,63.83,7351.85,6851.85,377.59,-115.69,Actual
