Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
06/07/2019 20:00,78.46,9102.13,8213.09,704.23,-180.06,Actual
06/07/2019 20:30,79.41,9001.04,7999.69,703.91,-292.12,Actual
06/07/2019 21:00,84.02,8885.38,7843.04,752.77,-279.83,Actual
06/07/2019 21:30,77.32,8751.95,7658.03,801.18,-284.41,Actual
06/07/2019 22:00,75.03,8613.53,7514.38,856.76,-234.72,Actual
06/07/2019 22:30,71.26,8534.35,7383.32,855.14,-293.39,Actual
06/07/2019 23:00,59.2,8305.38,6994.89,883.23,-421.12,Actual
06/07/2019 23:30,64.89,8221.22,7063.12,886.84,-268.1,Actual
07/07/2019 00:00,57.33,8043.66,6986.37,848.9,-203.2,Actual
07/07/2019 00:30,48.2,7749.17,6595.14,860.38,-291.75,Actual
07/07/2019 01:00,39.69,7567.46,6323.07,864.56,-376.55,Actual
07/07/2019 01:30,29.67,7581.46,6087.65,848.88,-634.59,Actual
07/07/2019 02:00,30.38,7403.96,5776.71,849.53,-761.89,Actual
07/07/2019 02:30,31.91,7161.66,5523.41,864.19,-754.56,Actual
07/07/2019 03:00,22.11,6976.37,5261.62,879.55,-809.99,Actual
07/07/2019 03:30,41.59,7046.94,5341.39,904.81,-778.37,Actual
07/07/2019 04:00,32.04,6995.59,5309.8,877.48,-786.1,Actual
07/07/2019 04:30,39.08,6945.53,5303.58,870.83,-746.22,Actual
07/07/2019 05:00,38.87,6969.66,5423.89,864.01,-658.22,Actual
07/07/2019 05:30,46.99,7071.8,5772.25,855.67,-430.11,Actual
07/07/2019 06:00,53.04,7011.55,5976.53,852.95,-178.03,Actual
07/07/2019 06:30,49.65,7250.74,6135.95,844.41,-267.77,Actual
07/07/2019 07:00,45.53,7359.86,6385.97,835.78,-136.76,Actual
07/07/2019 07:30,53.21,7651.29,6732.81,766.25,-150.45,Actual
07/07/2019 08:00,57.81,7889.56,7032.83,708.44,-143.71,Actual
07/07/2019 08:30,62.13,8172.61,7118.04,691.07,-348.84,Actual
07/07/2019 09:00,65.89,8393.16,7310.67,687.48,-374.03,Actual
07/07/2019 09:30,68.27,8456.26,7183.45,682.44,-570.94,Actual
07/07/2019 10:00,69.68,8415.23,7137.58,632.04,-620.32,Actual
07/07/2019 10:30,71.67,8355.61,7067.87,587.64,-666.74,Actual
07/07/2019 11:00,66.57,8090.68,6866.99,540.86,-650.74,Actual
07/07/2019 11:30,65.09,7914.58,6828.36,501.71,-555.8,Actual
07/07/2019 12:00,60.73,7682.85,6792.43,452.6,-421.54,Actual
07/07/2019 12:30,56.93,7473.02,6680.16,445.01,-335.02,Actual
07/07/2019 13:00,58,7359.59,6643.67,398.93,-305.22,Actual
07/07/2019 13:30,56.59,7244.96,6588.34,343.34,-300.72,Actual
07/07/2019 14:00,58,7267.54,6673.21,330.58,-253.96,Actual
07/07/2019 14:30,60.6,7323.08,6787.39,271.66,-254.52,Actual
07/07/2019 15:00,66.94,7436.86,6856.16,179.27,-386.36,Actual
07/07/2019 15:30,72.43,7655.66,7063.93,140.59,-433.31,Actual
07/07/2019 16:00,79.48,7911.7,7401.68,99.97,-396.67,Actual
07/07/2019 16:30,76.49,8273.05,7722.76,91.4,-446.63,Actual
07/07/2019 17:00,75.18,8751.3,8191.96,122.45,-428.39,Actual
07/07/2019 17:30,90.69,9290.06,8535.4,176.66,-565.46,Actual
07/07/2019 18:00,119.11,9758.35,8863.13,233.59,-650.82,Actual
07/07/2019 18:30,117.39,9814,8888.01,275.78,-640.88,Actual
07/07/2019 19:00,94.23,9679.84,8823.82,322.68,-525.53,Actual
07/07/2019 19:30,82.18,9498.1,8720.89,371.11,-400.87,Actual
07/07/2019 20:00,85.03,9356.74,8636.063,383.777,-333.3,Forecast
07/07/2019 20:30,85.03,9222.59,8459.241,390.659,-366.41,Forecast
07/07/2019 21:00,85.03,9062.98,8306.63,400.46,-348.28,Forecast
07/07/2019 21:30,82.13967,8872.18,8214.001,419.219,-232.84,Forecast
07/07/2019 22:00,77,8668.1,7949.778,442.672,-265.34,Forecast
07/07/2019 22:30,76.78437,8484.81,7794.003,442.937,-237.95,Forecast
07/07/2019 23:00,70.52315,8259.2,7726.795,442.985,-85.2,Forecast
