Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
07/07/2019 11:30,65.09,7914.58,6828.36,501.71,-555.8,Actual
07/07/2019 12:00,60.73,7682.85,6792.43,452.6,-421.54,Actual
07/07/2019 12:30,56.93,7473.02,6680.16,445.01,-335.02,Actual
07/07/2019 13:00,58,7359.59,6643.67,398.93,-305.22,Actual
07/07/2019 13:30,56.59,7244.96,6588.34,343.34,-300.72,Actual
07/07/2019 14:00,58,7267.54,6673.21,330.58,-253.96,Actual
07/07/2019 14:30,60.6,7323.08,6787.39,271.66,-254.52,Actual
07/07/2019 15:00,66.94,7436.86,6856.16,179.27,-386.36,Actual
07/07/2019 15:30,72.43,7655.66,7063.93,140.59,-433.31,Actual
07/07/2019 16:00,79.48,7911.7,7401.68,99.97,-396.67,Actual
07/07/2019 16:30,76.49,8273.05,7722.76,91.4,-446.63,Actual
07/07/2019 17:00,75.18,8751.3,8191.96,122.45,-428.39,Actual
07/07/2019 17:30,90.69,9290.06,8535.4,176.66,-565.46,Actual
07/07/2019 18:00,119.11,9758.35,8863.13,233.59,-650.82,Actual
07/07/2019 18:30,117.39,9814,8888.01,275.78,-640.88,Actual
07/07/2019 19:00,94.23,9679.84,8823.82,322.68,-525.53,Actual
07/07/2019 19:30,82.18,9498.1,8720.89,371.11,-400.87,Actual
07/07/2019 20:00,76.7,9263,8498.41,403.77,-356.1,Actual
07/07/2019 20:30,81.02,9127.71,8334.32,387.34,-399.04,Actual
07/07/2019 21:00,76.85,8968.3,8139.33,420.89,-399.06,Actual
07/07/2019 21:30,80.64,8778.63,7985.27,448.71,-337.63,Actual
07/07/2019 22:00,76.91,8600.73,7833.51,414.54,-345.34,Actual
07/07/2019 22:30,73.98,8398.54,7770.44,419.27,-205.34,Actual
07/07/2019 23:00,69.53,8141.89,7671.94,453.03,-15.9,Actual
07/07/2019 23:30,66.39,7915.35,7488.59,455.22,29.97,Actual
08/07/2019 00:00,61.37,7715.1,7185.45,496.05,-29.09,Actual
08/07/2019 00:30,61.85,7577.68,7112.03,435.92,-26.24,Actual
08/07/2019 01:00,64.21,7458.65,6950.66,458.05,-41.17,Actual
08/07/2019 01:30,60.52,7251.33,6764.22,520.96,39.7,Actual
08/07/2019 02:00,61.61,7072.56,6529.77,551.1,14.63,Actual
08/07/2019 02:30,61.26,6844.64,6309.58,507.65,-19.26,Actual
08/07/2019 03:00,58,6692.92,6247.32,481.39,41.83,Actual
08/07/2019 03:30,56.81,6608.24,6085.57,458.8,-59.37,Actual
08/07/2019 04:00,58.03,6593.65,6024.91,403.69,-162.35,Actual
08/07/2019 04:30,57.87,6614.84,6178.49,367.24,-67.81,Actual
08/07/2019 05:00,54.9,6744.8,6470.06,394.51,120.91,Actual
08/07/2019 05:30,59.47,7073.05,6921.4,376.91,226.72,Actual
08/07/2019 06:00,61.21,7398.74,7403.48,348.3,355.76,Actual
08/07/2019 06:30,62.72,8043.74,7910.54,292.88,160.6,Actual
08/07/2019 07:00,74.24,8596.89,8203.04,283.95,-105.75,Actual
08/07/2019 07:30,85.56,8977.19,8320.55,289.46,-361.46,Actual
08/07/2019 08:00,106.03,9357.98,8478.42,318.25,-550.07,Actual
08/07/2019 08:30,122.42,9539.36,8514.12,335.88,-663.84,Actual
08/07/2019 09:00,99.7,9602.11,8863.36,360.57,-332.79,Actual
08/07/2019 09:30,92.18,9545.91,8672.4,393.06,-438.76,Actual
08/07/2019 10:00,83.91,9341.45,8518.62,411.31,-366.1,Actual
08/07/2019 10:30,80.31,9141.56,8284.28,424.36,-393.18,Actual
08/07/2019 11:00,77.05,9000.23,8157.91,386.36,-422.23,Actual
08/07/2019 11:30,70.48349,8852.75,8045.297,429.473,-354.34,Forecast
08/07/2019 12:00,68.89,8694.8,7857.391,467.409,-345.75,Forecast
08/07/2019 12:30,68.42,8588.72,7708.818,520.032,-334.37,Forecast
08/07/2019 13:00,68,8514.77,7632.001,558.719,-297.35,Forecast
08/07/2019 13:30,68.42,8490.45,7622.217,567.503,-274.71,Forecast
08/07/2019 14:00,68.42,8503.18,7678.325,565.225,-233.55,Forecast
08/07/2019 14:30,68.42,8523.33,7784.447,555.813,-161.83,Forecast
08/07/2019 15:00,68.89,8577.86,7880.978,539.622,-138.4,Forecast
